date,high,low,open,close,volume,jdate
2023-11-25,2023330,2019980,2022950,2019988,3942414609,1402-09-04
2023-11-26,2024470,2020990,2020990,2024448,4681535057,1402-09-05
2023-11-27,2027860,2025370,2025370,2026075,4196084294,1402-09-06
2023-11-28,2031900,2026220,2026470,2031880,4365928914,1402-09-07
2023-11-29,2060370,2034320,2034320,2060345,6701033484,1402-09-08
2023-12-02,2088070,2064230,2064230,2087696,6983363375,1402-09-11
2023-12-03,2121190,2087850,2088220,2121199,10104970668,1402-09-12
2023-12-04,2165460,2142270,2142270,2165228,9624103285,1402-09-13
2023-12-05,2177240,2165190,2165190,2176504,8816588999,1402-09-14
2023-12-06,2177470,2171020,2177470,2171023,5585574048,1402-09-15
2023-12-09,2171490,2160960,2171230,2160965,5637847919,1402-09-18
2023-12-10,2161420,2159410,2160960,2161074,4816670431,1402-09-19
2023-12-11,2165680,2161630,2161630,2162560,5257000893,1402-09-20
2023-12-12,2164380,2161240,2163400,2161267,5862611257,1402-09-21
2023-12-13,2161610,2158080,2161610,2158088,4607520016,1402-09-22
2023-12-16,2171820,2158840,2158840,2171823,4859395624,1402-09-25
2023-12-18,2207650,2173520,2173520,2207653,8049806556,1402-09-27
2023-12-19,2215610,2207120,2207170,2211856,6938044551,1402-09-28
2023-12-20,2213900,2210210,2211110,2210217,5541604184,1402-09-29
2023-12-23,2210700,2208330,2209960,2208343,5069584528,1402-10-02
2023-12-24,2208590,2200100,2208590,2200110,5198315936,1402-10-03
